# Forces          
# CofR            : (-4.1740000000e-02 1.1180000000e-03 -5.5878000000e-02)
# Time            forces(pressure viscous)	moments(pressure viscous)
0                 	((1.8730630144e+01 -1.4392154508e+00 6.8039730733e+01) (1.7821184010e-03 -2.6063933940e-04 2.7740084519e-02)) ((-2.5497368237e-01 -1.4625800360e+01 9.9565439206e-01) (-1.0746516022e-05 -3.8522820026e-03 -4.4698949697e-05))
0.01              	((5.0446657032e-01 9.6091298252e-02 3.9312845511e+00) (-2.6219406026e-03 -5.0054827751e-04 3.8646735824e-02)) ((-3.4836928767e-02 -5.8779439364e-01 6.7162476317e-02) (-6.7325157152e-05 -5.8234307534e-03 8.6855441830e-05))
0.02              	((-1.3336888304e+00 -3.4879456837e-01 3.8658957062e+00) (-9.9447502438e-03 -6.8688112438e-04 4.3234821347e-02)) ((-5.1722913154e-02 -6.0689620033e-01 7.0855561249e-02) (-1.8377333390e-04 -5.9220360276e-03 2.0000030883e-05))
0.03              	((-5.9028071854e+00 7.2691757325e-03 -7.2926709734e-01) (-2.9571063216e-02 -7.6018052822e-04 3.6989875886e-02)) ((-4.1916048238e-02 1.0724346154e-01 1.7468322515e-01) (-2.4691404851e-04 -4.8128536429e-03 -4.1343433949e-05))
0.04              	((-9.5373074129e+00 -5.8581774701e-03 -8.8075557708e-01) (-7.3268735820e-02 -6.8913980758e-04 2.9561617628e-02)) ((-3.5732201806e-02 -4.3390661686e-01 1.3204973278e-01) (-2.8085058615e-04 -5.6906867908e-03 3.3170553374e-05))
0.05              	((-1.2594093933e+01 -1.1096012423e-01 2.1675699583e+00) (-1.6170540818e-01 -1.0374213835e-03 2.4349077411e-02)) ((-6.3247781990e-03 -1.5973268748e+00 4.0658327116e-02) (-3.5184107649e-04 -1.1121305733e-02 1.9132065235e-04))
0.06              	((-1.3512666681e+01 -4.3891500499e-02 5.3101582053e+00) (-3.0980748343e-01 -2.5285506847e-03 1.5931203528e-02)) ((2.2754171065e-02 -2.4010617161e+00 -9.6203087003e-03) (-4.3597067510e-04 -2.0520360907e-02 7.0397929088e-05))
0.07              	((-1.0862213829e+01 1.2897978410e-01 8.5709369892e+00) (-4.5215182574e-01 -3.1361573196e-03 2.7622389335e-03)) ((3.5819288443e-02 -3.0046738358e+00 3.7661589969e-02) (-5.3526963523e-04 -2.9280144526e-02 -4.0397397441e-04))
0.08              	((-7.5374081652e+00 4.4381815546e-01 1.1279627337e+01) (-5.3474570517e-01 -2.4668371027e-03 1.6029829503e-03)) ((7.5565066206e-02 -3.9866921006e+00 1.2882728179e-02) (-7.2386038937e-04 -3.7693017326e-02 -3.9349390013e-04))
0.09              	((-4.6996417241e+00 5.4529181519e-01 2.2266606439e+01) (-5.7581171760e-01 -3.5188034314e-04 2.8995637565e-02)) ((1.5144375102e-01 -7.1400517065e+00 -7.1477134939e-02) (-9.3015510927e-04 -4.9717588995e-02 -5.2773818985e-05))
