# Forces          
# CofR            : (3.0458400000e-01 -0.0000000000e+00 0.0000000000e+00)
# Time            forces(pressure viscous)	moments(pressure viscous)
0                 	((0.0000000000e+00 0.0000000000e+00 0.0000000000e+00) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((0.0000000000e+00 0.0000000000e+00 0.0000000000e+00) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.02              	((-3.6732228092e+00 -9.6028388426e-02 1.8169733593e+00) (-5.4889085736e-02 2.2936185635e-04 8.7096111203e-04)) ((-2.7338936105e-01 3.8531231632e-01 -1.4388156890e-01) (1.8224506551e-04 -6.6475108197e-04 -3.4582116649e-04))
0.04              	((-1.4567056649e+01 -7.5056279573e-02 8.0287487994e+00) (-1.7111522028e-01 -2.5902614858e-03 -8.0983603373e-04)) ((-1.2424213612e+00 1.9623643335e+00 -6.5916689864e-01) (4.5108135992e-04 -2.5181894576e-03 3.3146764338e-05))
0.06              	((-1.9577253867e+01 2.6424952597e-01 2.3298080889e+01) (-4.1370520423e-01 -8.6639383630e-03 -2.6712124844e-03)) ((-2.4766375619e+00 5.8657746826e+00 -1.2834203276e+00) (7.2278029798e-04 -7.4129632964e-03 2.7458988211e-03))
0.08              	((-1.5916451980e+01 -2.6045717080e-01 3.3458932585e+01) (-5.7699531298e-01 -1.6588572625e-02 -1.0921690002e-02)) ((-2.5555288642e+00 8.2906405850e+00 -1.2809152835e+00) (1.3394970906e-03 -1.3164027499e-02 5.8125238760e-03))
0.1               	((-1.3559572438e+01 -1.2784647222e-01 3.8811473907e+01) (-5.7677559455e-01 -2.2099654992e-02 -6.6845897007e-03)) ((-2.5416796311e+00 8.7879396265e+00 -1.1702815526e+00) (7.5263945287e-04 -1.3249192521e-02 6.7689777493e-03))
0.12              	((-1.4879252230e+01 5.8696671708e-01 4.3786716184e+01) (-8.6375351011e-01 -1.8106065577e-02 4.1361948665e-03)) ((-2.7005183497e+00 9.2668802601e+00 -1.3113345988e+00) (1.0995943318e-03 -1.2985356912e-02 5.9529663382e-03))
0.14              	((-1.7363371615e+01 1.1968558532e+00 7.2348819888e+01) (-1.5638101609e+00 -2.1574061645e-02 2.8222944915e-03)) ((-4.8834165474e+00 1.6487692293e+01 -2.2600177353e+00) (1.4721468740e-03 -2.1857349660e-02 1.4004405732e-02))
0.16              	((-2.1690479292e+01 2.2602414947e-01 9.3109030181e+01) (-1.9893253109e+00 -4.0288813410e-02 -8.0292725368e-03)) ((-6.2217173517e+00 2.1237042159e+01 -2.5461434543e+00) (2.3099077554e-03 -3.2967329254e-02 2.4697204509e-02))
0.18              	((-2.4427626793e+01 7.6926795984e-01 1.1323650815e+02) (-2.2665982515e+00 -3.2536194889e-02 -5.2219839319e-03)) ((-7.8887918953e+00 2.6315348809e+01 -3.1766409594e+00) (3.1537995572e-03 -3.9187895480e-02 2.6426015814e-02))
0.2               	((-2.6630541944e+01 5.4288907138e-02 1.3477645138e+02) (-2.4401273926e+00 -4.1717606966e-02 -9.9088609967e-03)) ((-8.8561807431e+00 3.0945908575e+01 -3.4648613695e+00) (3.1116502929e-03 -4.6324709915e-02 2.2043568978e-02))
0.22              	((-2.8611964153e+01 1.3700365008e-03 1.4993789344e+02) (-2.4977845487e+00 -5.2716453784e-02 -1.0361689008e-02)) ((-9.6014740704e+00 3.4324477136e+01 -3.7671461069e+00) (1.5270249422e-03 -4.9271582235e-02 2.5917300992e-02))
0.24              	((-2.9706410417e+01 3.8220494031e-01 1.6029842842e+02) (-2.5082122048e+00 -5.5913466367e-02 -8.7311563341e-03)) ((-9.8500941823e+00 3.6535769374e+01 -4.3144409473e+00) (2.8599539408e-03 -4.8965418277e-02 2.4316532414e-02))
