# Forces          
# CofR            : (-4.1740000000e-02 1.1180000000e-03 -5.5878000000e-02)
# Time            forces(pressure viscous)	moments(pressure viscous)
0                 	((-7.1334714518e+00 1.4674668877e+00 3.4473674622e+01) (7.6470239351e-04 3.5968383508e-05 3.9551711504e-03)) ((2.8478672514e-01 2.2915674198e+01 -9.9008610086e-01) (2.2539569581e-06 2.8326236726e-03 -4.5692074300e-05))
0.01              	((-2.6316144883e+00 1.3380083220e-01 5.3916995825e+00) (7.8989670467e-04 7.3835589857e-06 6.8030067048e-04)) ((2.5001531156e-02 3.5031053356e+00 -8.2920503920e-02) (2.3997185962e-05 4.5890660005e-04 -3.7519125638e-05))
0.02              	((-3.1482253884e+00 2.9096353404e-01 8.8957236760e+00) (-4.0174875234e-03 -7.4866921404e-05 -4.1908343141e-04)) ((4.8584856083e-02 5.7937363529e+00 -1.9191627653e-01) (3.1659305279e-05 -6.7738516977e-04 1.7993402867e-05))
0.03              	((-3.1966069309e+00 3.1119571840e-01 9.2124371062e+00) (-8.7199538719e-03 -8.6427433650e-05 -2.1418036102e-03)) ((4.8195928615e-02 5.9189309722e+00 -2.0264672305e-01) (2.2757926559e-05 -2.2291531568e-03 3.8410164301e-05))
0.04              	((-3.6496900814e+00 2.7316602928e-01 1.2011469837e+01) (-1.5262923411e-02 2.2951605101e-04 -4.0204163866e-03)) ((5.2746590770e-02 7.6387188802e+00 -1.6836499295e-01) (-2.1992800529e-05 -4.0666798165e-03 -1.4206861777e-04))
0.05              	((-4.6121399785e+00 1.0768303848e-01 2.0974543238e+01) (-2.3888845560e-02 4.1994595038e-04 -5.5849491782e-03)) ((4.8226606779e-02 1.3370616895e+01 -6.0328507792e-02) (-3.3730647536e-05 -5.7652018117e-03 -2.4214270392e-04))
0.06              	((-6.1348232580e+00 -4.4135512238e-02 3.2387865724e+01) (-3.5109150946e-02 -7.7537187318e-04 -4.7547113086e-03)) ((4.0347175420e-02 2.0592015646e+01 4.8508119116e-02) (7.1647126170e-05 -6.0400495570e-03 6.7491470576e-04))
0.07              	((-8.1085405996e+00 -2.2125835206e-02 3.8557803378e+01) (-5.3150657437e-02 -1.6986868999e-03 -3.8745562101e-03)) ((7.3515012765e-02 2.4395707137e+01 4.9737225891e-02) (1.3245128900e-04 -7.1026245889e-03 1.5684074382e-03))
0.08              	((-9.9382077613e+00 -1.4458484865e-03 3.6986752363e+01) (-8.4638321202e-02 -1.6321177390e-03 -6.3140565125e-03)) ((1.4751935588e-01 2.3203318856e+01 5.2267277364e-02) (-1.4329107385e-05 -1.1397001948e-02 1.8254321639e-03))
0.09              	((-1.0685681610e+01 -1.0998845983e-02 3.5912430858e+01) (-1.2573660210e-01 -3.0633962703e-04 -1.5384821071e-02)) ((2.1918095027e-01 2.2253597305e+01 8.9533611189e-02) (-3.9750346603e-04 -2.0453725252e-02 9.1811174259e-04))
0.1               	((-1.0158412379e+01 6.9799058039e-02 4.2595296413e+01) (-1.6026605130e-01 1.1523792025e-03 -1.8133529873e-02)) ((1.5480873157e-01 2.6540432778e+01 1.2832746040e-02) (-4.3663742941e-04 -2.5070765829e-02 -4.8762609384e-04))
0.11              	((-9.5355199300e+00 1.7462951978e-01 4.8349017593e+01) (-1.5635912668e-01 2.2092989185e-04 -6.5683315261e-03)) ((8.1271290794e-02 3.0186208064e+01 -9.1170435362e-02) (-9.0022054569e-05 -1.7324617193e-02 4.1657913650e-04))
