# Selection       : upstreamTailZone
# Cells           : 1279
# Volume          : 5.9630627106e-04
# Time            	volAverage(magU)
0                 	5.8205329181e+00
0.01              	6.9705323925e+00
0.02              	7.4528982200e+00
0.03              	7.9087838879e+00
0.04              	8.5909466784e+00
0.05              	1.0063923239e+01
0.06              	1.1930601353e+01
0.07              	1.3763717397e+01
0.08              	1.6490960405e+01
0.09              	1.8813444452e+01
0.1               	1.8192001290e+01
0.11              	1.7617149195e+01
0.12              	1.7436873879e+01
0.13              	2.0320573904e+01
0.14              	2.5161698507e+01
0.15              	2.7405194085e+01
0.16              	2.8589326473e+01
0.17              	3.0094118944e+01
0.18              	3.1301711198e+01
0.19              	3.2054157820e+01
0.2               	3.2876602265e+01
0.21              	3.3557639235e+01
0.22              	3.4199607118e+01
0.23              	3.4673818150e+01
0.24              	3.5064512879e+01
0.25              	3.5407971288e+01
0.26              	3.5630065157e+01
0.27              	3.5863128503e+01
0.28              	3.6031870700e+01
0.29              	3.6082878605e+01
0.3               	3.6260531995e+01
